연번,방송사명,방송국명,유형,우편번호,주소,전화,팩스
1,(사)고려인마을,광산FM공동체라디오,FM 방송용,62345,광주광역시 광산구 월곡동 518-6번지,,
2,(사)관악공동체라디오 대표이사,관악소출력공동체라디오FM방송국,FM 방송용,08758,서울특별시 관악구 봉천동 870-13번지 신원메트로빌 B101호 B102,,
3,(사)광주시민방송,광주소출력공동체라디오FM방송국,FM 방송용,61216,광주광역시 북구 신안동 224-4번지,062-531-0100,062-531-0202
4,(사)금강에프엠방송,공주소출력공동체라디오FM방송국,FM 방송용,30056,세종특별자치시 장군면 금암리 180-1번지 한국영상대학,044-850-9584,041-850-9068
5,(사)마포공동체라디오 이사장,마포소출력공동체라디오FM방송국,FM 방송용,03986,서울특별시 마포구 성산동 226-1번지 세광빌딩 4층,02-332-3247,02-332-3246
6,(사)문화복지미디어연대 이사장,성남소출력공동체라디오FM방송국,FM 방송용,13591,경기도 성남시 분당구 서현동 246-2번지 신영펠리스타워 12층 1203호,031-703-6100,031-706-0091
7,(사)서대문공동체라디오,서대문FM공동체라디오,FM 방송용,03694,서울특별시 서대문구 남가좌동 74-39번지 3층,,
8,(사)성서공동체에프엠,성서공동체라디오FM방송국,FM 방송용,42620,대구광역시 달서구 이곡동 1250-18번지 혜성빌딩 4층,053-585-1260,053-585-1261
9,(사)안산공동체미디어,단원FM공동체라디오,FM 방송용,15374,경기도 안산시 단원구 원곡동 822-4번지 2층,,031-495-4718
10,(사)영주에프엠방송,영주공동체라디오FM방송국,FM 방송용,36077,경상북도 영주시 영주동 336-50번지,054-638-0300,
11,(사)청암송건호기념사업회,옥천FM공동체라디오,FM 방송용,29037,충청북도 옥천군 옥천읍 금구리 143-7번지 2층,,
12,(재)가톨릭평화방송,가톨릭평화 FM방송국,FM 방송용,04552,서울특별시 중구 저동1가 2-3번지,02-2270-2391,02-2270-2330
13,(재)가톨릭평화방송,광주가톨릭평화 FM방송국,FM 방송용,04552,서울특별시 중구 저동1가 2-3번지,02-2270-2391,02-2270-2330
14,(재)가톨릭평화방송,대구가톨릭평화 FM방송국,FM 방송용,04552,서울특별시 중구 저동1가 2-3번지,02-2270-2391,02-2270-2330
15,(재)가톨릭평화방송,부산가톨릭평화 FM방송국,FM 방송용,04552,서울특별시 중구 저동1가 2-3번지,02-2270-2391,02-2270-2330
16,(재)가톨릭평화방송,대전가톨릭평화 FM방송국,FM 방송용,04552,서울특별시 중구 저동1가 2-3번지,02-2270-2391,02-2270-2330
17,(재)국제방송교류재단,아리랑 제주FM방송국,FM 방송용,06713,서울특별시 서초구 서초동 1467-80번지 아리랑타워,02-3475-5025,02-3475-5110
18,(재)극동방송,극동 AM방송국,중파방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
19,(재)극동방송,극동 제주AM방송국,중파방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
20,(재)극동방송,극동 대전FM방송국,FM 방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
21,(재)극동방송,극동 창원FM방송국,FM 방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
22,(재)극동방송,극동 강릉FM방송국,FM 방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
23,(재)극동방송,극동 포항FM방송국,FM 방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
24,(재)극동방송,극동 표준FM방송국,FM 방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
25,(재)극동방송,극동 목포FM방송국,FM 방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
26,(재)극동방송,극동 울산FM방송국,FM 방송용,04067,서울특별시 마포구 상수동 89-1번지 재극동방송,02-320-0404,02-320-0419
