순번,등록번호,제호,기관명,상태,종별,간별,성격,유형,발행목적,발행내용,보급방법,보급지역,선택지역,상세지역,유무가,보급대상,사용언어,발행소명,발행소 주소,인쇄소명,복수여부,등록일자,제출일자
27087,아54593,MM스토리,경기,등록,인터넷신문,인터넷신문,총류,개인,"건강, 교육, 문화, 생활, 스포츠, 경제 등에 관한 유용한 정보의 제공",상기 발행목적을 내용으로 함,,전국,,,무가,,,이다영(MM스토리),"경기 하남시 미사강변동로 79 (망월동, 미사역타워), 804~805호",,단건,2025-11-04,2025-11-03
27086,아00534,대구배움일보,대구,등록,인터넷신문,인터넷신문,총류,개인,투명하고 신속한 정보를 공유하고 지속 가능한 미디어 생태계를 구축한다.,"사고, 사건, 허위 과장 정보 바로잡고 지역 밀착 서비스형 기사를 제공한다.",,전국,,,무가,,,이원선,"대구 남구 앞산순환로87길 8, 104동 B1 101호 (대명동)",,단건,2025-11-04,2025-10-29
27085,사00007,스마트팜,남동,등록,기타간행물,연2회간,유통정보,개인,ICT장비에 관한 정보 및 시설정보 알림,ICT장비에 관한 정보 및 시설정보 알림,,전국,,,무가,,,스마트팜,인천 남동구 청능대로389번길 47 (고잔동),(주)대유기획인쇄,단건,2025-11-04,2025-10-15
27084,사00009,스마트팩토리,남동,등록,기타간행물,연2회간,유통정보,개인,공장 스마트 장비에 관한 정보 및 설치정보 알림,공장 스마트 장비에 관한 정보 및 설치정보 알림,,전국,,,무가,,,스마트팩토리,인천 남동구 청능대로389번길 47 (고잔동),(주)대유기획인쇄,단건,2025-11-04,2025-10-17
27083,사00008,스마트홈,남동,등록,기타간행물,연2회간,유통정보,개인,ICT 장비 및 설치 정보 알림,ICT 장비 및 설치 정보 알림,,전국,,,무가,,,스마트홈,인천 남동구 청능대로389번길 47 (고잔동),(주)대유기획인쇄,단건,2025-11-04,2025-10-17
27082,아00870,CSR BRIEFING,경북,등록,인터넷신문,인터넷신문,총류,개인,기업의 사회적 책임과 ESG 분야에 관한 국내외 다양한 정보를 전문적인 분석을 제공하여 건전한 발전과 독자의 올바른 이해를 돕는 것을 목적으로 함,"국내외 기업의 CSR, ESG 관련 국내외 주요 뉴스",,전국,,,무가,CSR 중소기업 및 ESG 담당자,,CSR BRIEFING,"경북 포항시 북구 우창동로 113 (우현동, 우현지구 도나우타운), 102동 2103호",,단건,2025-11-03,2025-10-27
27081,아00871,IMPACT JOURNAL,경북,등록,인터넷신문,인터넷신문,총류,개인,"국내외 정치, 경제, 사회 등 전 분야에 걸쳐 국민의 알 권리를 충족시키고, 건전한 여론형성과 민주주의 발전에 기여하며, 특히 사회적 가치 증진과 관련된 공익적 정보를 제공함을 목적으로 함","정치, 경제, 사회, 문화, 국제 등 국내외 주요 뉴스, 사회적 경제 및 비영리 분야 관련 동향 보도",,전국,,,무가,NGO 및 사회적기업 실무자,,IMPACT JOURNAL,"경북 포항시 북구 우창동로 113 (우현동, 우현지구 도나우타운), 102동 2103호",,단건,2025-11-03,2025-10-27
27080,아00869,NEIGHBOR NEWS,경북,등록,인터넷신문,인터넷신문,총류,개인,"우리 사회 다양한 소식을 신속하고 정확하게 전달하여 지역사회 발전과 공동체 활성화에 기여하며, 시민들의 삶에 도움이 되는 정보를 제공하여 국민의 복리 증진에 이바지함을 목적으로 함","시민들의 삶에 영향을 미치는 국내외 주요 뉴스, 지역사회 소식 및 사회적 경제, 비영리 분야 관련 동향 보도",,전국,,,무가,지역 사회적기업 및 커뮤니티,,NEIGHBOR NEWS,"경북 포항시 북구 우창동로 113 (우현동, 우현지구 도나우타운), 102동 2103호",,단건,2025-11-03,2025-10-27
27079,아54591,YPR,경기,등록,인터넷신문,인터넷신문,총류,개인,1) 부천 지역 전반의 소식전달과 다양한 분석을 통해 독자의 알권리를 실현하기 위함 2) 청소년 분야의 다양한 정보 및 지식 제공을 통해 바른 언론으로서의 가치를 추구 3) 부천 지역 및 전국의 다양한 분야의 소식 전달을 통해 지역사회 발전에 기여,"1) 정치, 경제, 사회, 문화, 스포츠 등 해당분야에 관련한 소식 2) 청소년, 스포츠, e스포츠 분야 등에 관련한 모든 정보와 뉴스 3) 상기 발행 목적에 해당하는 다양한 뉴스와 정보",,전국,,,무가,,,임주영,"경기 부천시 원미구 조마루로 135 (중동, 포도마을), 813동 1101호",,단건,2025-11-03,2025-10-28
27078,아00868,뉴스매니아,경북,등록,인터넷신문,인터넷신문,총류,개인,"정치, 경제, 사회, 문화 등 광범위한 분야의 뉴스, 분석, 다양한 콘텐츠를 신속하게 제공, 공공의 이익에 영향을 미치는 정보를 발굴하고 보도, 사실을 정확하고 객관적으로 전달하며, 다양한 관점 공정하게 보도","공공의 이익에 영향을 미치는 정보와 사실을 정확하고 객관적으로 전달하며, 다양한 관점 공정한 기사를 제공",,전국,,,무가,국민,,뉴스매니아,경북 영주시 대학로240번길 15-8 (가흥동),,단건,2025-11-03,2025-10-27
