NO,등록번호,제호,기관명,종별,간별,발행인,편집인,인쇄소,유형,보급지역,상세지역,법인명,등록일,발행소명,발행소 우편번호,발행소 주소,발행소 전화번호
27503,아00655,늘찬(neulchan),충청남도,인터넷신문,인터넷신문,김은정,김은정,,개인,전국,,,2026-04-03,김은정,31491,"충남 아산시 배방읍 북수서로 46 (북수리, 우리빌딩), 302호",041-545-5006
27502,아54788,한국비즈타임즈,경기도,인터넷신문,인터넷신문,정상초,정상초,,개인,전국,,,2026-04-03,정상초(한국비즈타임즈),18471,"경기 화성시 동탄구 동탄순환대로 823 (영천동, 에이팩시티), 4층 409-410호",010-****-0303
27501,아56478,가온경제일보,서울특별시,인터넷신문,인터넷신문,손우용,이진호,,개인,전국,,,2026-04-03,손우용,01397,"서울 도봉구 도봉로 642-30, 101호 1003호 (창동, 대동아파트)",010-****-5443
27500,아00387,픽뉴스,충청북도,인터넷신문,인터넷신문,정봉길,정봉길,,개인,지역,"제천, 단양",,2026-04-03,픽뉴스,27180,충북 제천시 의병대로34안길 34 (신백동) 1층,010-****-7706
27499,바00093,비카이브,송파,기타간행물,계간,이민지,김은빈,아트포아트,개인,전국,,,2026-04-02,이민지,05548,서울 송파구 오금로15길 5-8 (방이동) 4층,010-****-7308
27498,바00215,글결K문학,영등포,잡지,계간,최운선,노우혁,(주)페타피앤오,단체,전국,,,2026-04-02,케이(K)-문학인포럼,07430,"서울 영등포구 대방천로 175, 204호 (신길동)",010-****-4910
27497,아54785,리베르필라테스 매거진,경기도,인터넷신문,인터넷신문,이지우,이지우,,개인,전국,,,2026-04-02,리베르필라테스 매거진,10874,"경기 파주시 파주로 266 (동패동, 아이비타워), 202호",010-****-1884
27496,아54786,한국상담복지교육 뉴스,경기도,인터넷신문,인터넷신문,전철호,전철호,,개인,전국,,,2026-04-02,한국상담복지교육 뉴스,12248,"경기 남양주시 다산순환로 118-17 (다산동), 폴리프라자 501호",010-****-6581
27495,아54787,가평헤럴드,경기도,인터넷신문,인터넷신문,곽호원,곽호원,,개인,전국,,,2026-04-02,가평헤럴드(곽호원),12403,"경기 가평군 북면 화악산로 14 (목동리, 신영종합슈퍼), 2층",010-****-2299
27494,아56475,한입신문,서울특별시,인터넷신문,인터넷신문,김경,김경,,법인,전국,,한입신문 주식회사,2026-04-02,한입신문 주식회사,04703,"서울 성동구 청계천로 494, 205호 (하왕십리동, 벽산아파트상가)",010-****-7566
27493,아56476,모터앤라이프,서울특별시,인터넷신문,인터넷신문,임의택,임의택,,개인,전국,,,2026-04-02,임의택,07332,"서울 영등포구 국제금융로8길 27-8, 4층 4423호 (여의도동, 엔에이치농협캐피탈빌딩)",02-2125-5100
27492,아56477,지방자치혁신신문,서울특별시,인터넷신문,인터넷신문,원성묵,원성묵,,개인,전국,,,2026-04-02,원성묵,04053,"서울 마포구 어울마당로 130, 3층 3358호 (서교동, 기린빌딩)",010-****-1389
27491,아01201,크리에잇,제주특별자치도,인터넷신문,인터넷신문,고가혜,고가혜,,개인,전국,,,2026-04-01,고가혜,63159,제주특별자치도 제주시 용화로 30-1 (용담이동),070-8058-8260
27490,아01973,인천핫이슈,인천광역시,인터넷신문,인터넷신문,강민경,강민경,,개인,전국,,,2026-04-01,강민경,21504,"인천 남동구 석정로566번길 12 (간석동, 광명아파트) 502호",010-****-5970
27489,아54783,과문융합저널,경기도,인터넷신문,인터넷신문,문정기,문정기,,개인,전국,,,2026-04-01,문정기(과문융합),10083,"경기 김포시 김포한강2로 192 (장기동, 한강신도시어울림) 308동 204호",010-****-7000
27488,아54784,경기이음뉴스,경기도,인터넷신문,인터넷신문,고도훈,윤상준,,개인,전국,,,2026-04-01,고도훈(경기이음),10071,"경기 김포시 김포한강8로 410 (구래동, 스타프라자), 1001-48호",010-****-1023
27487,아00688,새만금에너지,전북특별자치도,인터넷신문,인터넷신문,최현일,최현일,,개인,전국,,,2026-04-01,새만금에너지,54956,"전북특별자치도 전주시 완산구 세내로 544, B1층",010-****-3730
27486,아00621,뉴스in호남,전라남도,인터넷신문,인터넷신문,임정섭,임정섭,,개인,전국,,,2026-04-01,뉴스in호남,57014,전남 영광군 법성면 굴비로4길 15-11 (법성리),010-****-3075
27485,아00622,로컬뉴스24,전라남도,인터넷신문,인터넷신문,정종대,정종대,,법인,전국,,로컬뉴스24,2026-04-01,로컬뉴스24,57340,전남 담양군 담양읍 객사리 220-10 2층,061-381-1800
27484,아01202,혼디제주,제주특별자치도,인터넷신문,인터넷신문,최지혜,최지혜,,개인,지역,,,2026-04-01,최지혜,63099,"제주특별자치도 제주시 정존13길 21 (노형동, 창신주택) 302호",010-****-4756
27483,아01203,센트리얼제주에듀 미디어,제주특별자치도,인터넷신문,인터넷신문,이서희,이서희,,개인,지역,제주시,,2026-04-01,이서희,63223,"제주특별자치도 제주시 중앙로 291 (이도이동, 복강빌딩) 3층",010-****-6802
27482,아01974,데일리합동,인천광역시,인터넷신문,인터넷신문,김낙주,김낙주,,개인,전국,,,2026-04-01,김낙주,22639,"인천 서구 완정로45번길 3 (마전동, 에스뽀아빌) 1동 501호",032-678-9636
27481,아56472,THE 복지,서울특별시,인터넷신문,인터넷신문,변창환,변창환,,개인,전국,,,2026-04-01,변창환,07391,"서울 영등포구 여의대방로35가길 19, 109동 703호 (신길동, 보라매 SK VIEW)",02-6396-2114
27480,아00653,부여의 소리,충청남도,인터넷신문,인터넷신문,이치영,선영숙,,법인,전국,,부여공동체미디어협동조합,2026-04-01,부여공동체미디어협동조합,33145,"충남 부여군 부여읍 사비로 103 (구아리), 2층",010-****-6647
27479,아00654,리셋바디미디어(Reset Body Media)일보,충청남도,인터넷신문,인터넷신문,김민선,김민선,,개인,전국,,,2026-04-01,김민선,32265,"충남 홍성군 홍북읍 청사로 42 (신경리, 내포씨에스빌딩), 303호",010-****-0237
27478,아56473,미디어합동,서울특별시,인터넷신문,인터넷신문,박기성,박기성,,개인,전국,,,2026-04-01,박기성,05117,"서울 광진구 구의강변로 96, 6단지 상가 B107호 (구의동, 현대아파트)",02-6408-0014
27477,아56474,마약예방퇴치 인터넷신문 방송(안티드럭뉴스),서울특별시,인터넷신문,인터넷신문,이명훈,이명훈,,단체,전국,,,2026-04-01,국제마약예방퇴치시민연합,07241,"서울 영등포구 은행로 58, 2층 202호 (여의도동, 삼도오피스텔)",010-****-0522
27476,라00692,KMEA 뉴스레터,영등포,기타간행물,월간,연창근,이성희,해당없음,법인,전국,,사단법인 대한설비융합협회,2026-03-31,사단법인 대한설비융합협회,07292,"서울 영등포구 영등포로 150, B동 1316호, 1317호(당산동1가, 생각공장 당산)",02-583-3673
